駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
3010,比土,29,171,77,45.03,20,93,57,149,58,13,22,2,0,10,0,0,6.51,9.47,6.51,7.1,13.02,15.98,18.34,13.61,9.47,50,100,63
3011,伊賀神戸,"4,758",438,206,47.03,47,239,150,326,160,31,19,2,0,23,2,0,6.86,8.47,5.95,10.76,10.3,12.36,18.31,17.16,9.84,50,50,112
3012,近鉄長島,"2,739","1,723",840,48.75,280,"1,056",381,"1,543",574,113,20,6,"80,675",68,5,549,9.26,12.17,9.38,13.86,15.43,12.41,9.9,9.96,7.63,50,50,357
3013,桑名,"29,920","3,970","1,906",48.01,484,"2,490",934,"6,288","1,695",557,33,137,"1,732,025",493,45,866,8.97,7.54,9.41,16.75,12.78,13.6,12.71,10.99,7.24,49.64,44.53,"4,167"
3014,益生,"2,430","3,869","1,844",47.66,518,"2,348",978,"4,257","1,508",396,26,50,"301,788",209,15,632,8.53,9.83,8.81,13.49,13.36,12.4,14.77,11.57,7.23,50,42,"2,209"
3015,伊勢朝日,"3,344","1,473",722,49.02,229,900,338,"1,713",556,156,28,17,"146,056",90,6,236,10.91,9.07,11.05,16.85,13.1,9.55,12.07,10.64,6.75,47.06,35.29,949
3016,川越富洲原,"5,375","4,724","2,316",49.03,752,"3,069",862,"3,723","1,934",659,34,35,"392,222",166,15,664,10.27,10.72,10.82,16.91,16.37,10.03,11.38,7.9,5.59,45.71,42.86,"1,409"
3017,近鉄富田,"22,391","3,708","1,798",48.49,523,"2,293",870,"4,084","1,539",472,31,52,"255,566",174,15,"1,449",10.02,8.41,11.05,16.37,14.01,10.18,12.6,11.02,6.35,44.23,46.15,"1,350"
3018,霞ケ浦,"2,991","3,394","1,738",51.21,558,"2,300",524,"2,423","1,363",440,32,17,"735,766",125,8,465,11.03,10.38,12.36,18.36,15.1,11.23,11.03,7.06,3.46,29.41,47.06,982
3019,阿倉川,"4,085","3,854","1,962",50.91,547,"2,476",792,"2,934","1,554",492,32,43,"596,227",190,17,228,10.24,8.38,11.97,16.85,14.78,10.85,11.89,9.27,5.76,27.91,55.81,"1,413"
3020,川原町,"1,570","3,480","1,705",48.99,487,"2,136",841,"3,048","1,443",476,33,41,"232,028",215,14,576,9.69,8.45,10.24,16.21,14.31,10.62,12.09,10.96,7.41,36.59,43.9,"1,351"
3021,近鉄四日市,"40,587","5,147","2,637",51.23,605,"3,641",838,"17,623","2,774","1,506",54,230,"4,270,442","1,380",141,480,8.2,7.46,13.06,17.14,18.04,13.26,11.33,7.65,3.86,73.04,22.61,"15,987"
3022,新正,"1,335","1,978","1,044",52.78,215,"1,397",335,"4,802",975,463,47,39,"1,548,223",269,20,386,7.1,8.79,13.93,15.84,15.84,14.24,12.03,7.87,4.37,25.64,23.08,"3,832"
3023,海山道,"1,550",744,415,55.78,66,471,203,"2,233",368,185,50,8,"149,527",84,4,52,5.56,8.01,11.8,12.35,15.6,12.89,13.43,13.7,6.65,12.5,37.5,"1,946"
3024,塩浜,"6,066","1,823",909,49.86,173,"1,099",541,"3,156",778,280,36,51,"122,259",232,16,559,5.46,9.11,9.82,11.04,13.3,12.8,15.01,14.9,8.55,49.02,45.1,"1,965"
3025,北楠,"1,433","1,809",895,49.47,291,"1,155",350,"1,815",667,165,25,14,"149,571",81,8,749,10.57,10.63,10.63,15.8,14.8,11.3,12.35,8.68,5.23,42.86,42.86,494
3026,楠,"1,540","2,310","1,178",51,326,"1,431",534,"1,467",955,312,33,22,"108,539",94,5,0,9.43,9,9.52,15.55,13.93,11.83,14.67,11.66,4.41,45.45,50,623
3027,長太ノ浦,"1,233","2,589","1,255",48.47,333,"1,615",630,"1,877",979,226,23,17,"116,131",68,4,409,7.68,10.43,9.85,12.76,14.27,12.61,16.18,10.74,5.47,52.94,41.18,495
3028,箕田,886,"2,005",975,48.63,327,"1,249",420,"1,441",731,163,22,2,"12,014",53,0,450,10.62,10.67,9.91,15.77,14.32,10.62,13.42,9.66,5.01,50,50,245
3029,伊勢若松,"1,697","2,176","1,080",49.63,335,"1,335",496,"1,076",792,178,22,9,"75,213",57,4,0,10.07,10.85,9.19,13.86,14.41,11.13,14.6,10.25,5.64,44.44,33.33,259
3030,千代崎,"2,073","2,557","1,314",51.39,310,"1,613",564,"1,303","1,075",427,40,13,"97,520",52,1,0,8.16,9.65,11.74,15.11,13.75,11.62,14.43,10.13,5.43,53.85,38.46,400
3031,白子,"13,095","3,380","1,663",49.2,435,"2,100",803,"4,132","1,426",473,33,92,"780,470",315,24,793,8.48,8.93,8.99,14.41,14.86,13.06,13.48,11.14,6.65,56.52,36.96,"2,171"
3032,鼓ケ浦,"1,009","2,974","1,439",48.39,400,"1,857",703,"2,330","1,132",249,22,17,"385,402",93,8,236,8.82,9.19,9.94,14.13,13.01,12.27,16.15,10.98,5.51,23.53,35.29,935
3033,磯山,"1,614","2,870","1,390",48.43,356,"1,813",644,"1,530","1,173",348,30,15,"211,015",73,4,0,8,9.63,10.88,13.76,12.41,13.44,16.6,10.24,5.05,33.33,40,524
3034,千里,"2,703","1,620",794,49.01,192,987,403,"1,507",689,258,37,27,"432,930",77,8,0,7.9,8.79,13.91,13.21,12.45,11.06,14.79,11.19,6.7,40.74,44.44,904
3035,豊津上野,"1,413","1,775",835,47.04,206,"1,048",507,"1,435",685,183,27,21,"88,975",90,5,189,7.77,8.11,10.6,12.7,11.62,12.76,14.63,12.81,9.01,38.1,33.33,553
3036,白塚,"1,667","3,249","1,552",47.77,390,"2,129",694,"1,831","1,394",455,33,12,"210,924",51,2,0,7.91,8.94,13.86,14.29,12.43,12.96,15.1,10.71,3.8,41.67,41.67,470
3037,高田本山,"1,829","2,074","1,040",50.14,225,"1,306",469,"1,340",989,464,47,11,"470,383",65,7,2,7.65,9.75,16.34,12.84,11.14,10.69,14.69,10.69,6.2,45.45,18.18,579
3038,江戸橋,"8,054","3,139","1,599",50.94,379,"2,198",469,"2,366","1,718","1,007",59,25,"535,909",121,13,539,9.03,9.85,21.33,16.48,12.8,10.11,9.26,7.29,3.87,44,40,915
3039,津,"34,277","2,635","1,283",48.69,363,"1,625",597,"11,197","1,181",443,38,90,"616,162",632,48,481,9.63,8.82,9.16,14.97,14.27,12.8,11.99,10.52,7.85,63.33,33.33,"9,714"
3040,津新町,"11,806","4,646","2,265",48.75,467,"2,794","1,318","5,551","2,228",992,45,74,"563,415",345,25,365,6.6,7.23,9.9,13.61,13.65,13.15,13.32,13.59,8.96,51.35,41.89,"3,280"
3041,南が丘,"2,617","3,496","1,647",47.11,671,"2,283",524,"2,591","1,256",217,17,2,"9,434",37,0,"1,102",11.44,14.49,7.33,13.08,18.89,13.71,10.7,7.39,2.96,50,50,294
3042,久居,"9,832","2,917","1,517",52.01,321,"1,775",732,"4,069","1,308",559,43,60,"319,195",247,21,553,7.22,8.28,13.23,13.87,13.38,11.71,12.95,12,7.36,53.33,40,"2,453"
3043,桃園,300,"1,307",629,48.13,209,832,262,583,473,92,19,2,"7,825",23,2,11,10.6,11.6,9.37,13.29,15.51,13.13,11.6,8.83,6.07,50,50,124
3044,伊勢中川,"6,876","2,836","1,393",49.12,534,"1,929",330,"2,145","1,235",425,34,27,"430,158",154,10,163,14.28,8.38,12.35,25.02,14.39,9.06,8.73,5.01,2.79,33.33,55.56,"1,213"
3045,伊勢中川,"6,876","2,836","1,393",49.12,534,"1,929",330,"2,145","1,235",425,34,27,"430,158",154,10,163,14.28,8.38,12.35,25.02,14.39,9.06,8.73,5.01,2.79,33.33,55.56,"1,213"
3046,伊勢中原,384,589,286,48.56,59,352,178,307,224,43,19,1,0,17,1,0,6.12,7.82,8.16,10.03,10.03,17.18,19.56,12.76,8.33,0,100,70
3047,松ケ崎,"11,423","1,333",650,48.76,179,853,281,"1,845",534,161,30,56,"869,339",146,11,0,8,10.82,10.67,14.48,14.56,13.03,14.56,9.76,4.12,66.07,17.86,"1,398"
3048,松阪,"16,027","2,984","1,369",45.88,318,"1,635","1,011","6,535","1,334",554,42,156,"912,341",675,68,209,7.43,7.26,6.85,12.02,13,11.75,14.92,13.98,12.8,60.26,35.26,"5,151"
3049,東松阪,"2,263","2,650","1,270",47.92,391,"1,667",576,"2,067","1,113",383,34,19,"95,614",116,5,541,9.53,10.36,10.82,13.9,14.09,12.64,12.64,9.79,6.23,57.89,31.58,584
3050,櫛田,"1,094","1,673",822,49.13,217,"1,024",431,"1,296",617,115,19,14,"166,984",68,4,232,8.43,9.33,8.01,13.46,12.8,13.82,16.45,11.12,6.58,50,21.43,455
3051,漕代,329,500,232,46.4,51,309,140,335,158,21,13,1,0,17,1,5,5.81,8.62,8.42,13.43,10.42,14.43,19.84,12.22,6.81,0,100,105
3052,斎宮,"1,767",773,382,49.42,81,449,242,668,253,28,11,8,"10,300",27,0,180,6.1,9.47,9.21,10.25,11.28,13.23,17.64,14.53,8.3,37.5,25,138
3053,明星,"1,212","1,281",624,48.71,224,778,278,785,446,70,16,3,"6,220",17,0,0,10.55,10.86,8.36,13.91,12.42,14.06,15,9.45,5.39,33.33,66.67,268
3054,明野,"1,891","1,196",585,48.91,187,722,274,841,454,100,22,2,"5,388",32,4,47,10.63,9.28,9.03,15.11,12.57,12.74,13.76,10.38,6.5,50,100,324
3055,小俣,720,"1,118",519,46.42,160,685,259,581,413,104,25,8,"49,567",37,4,0,9.87,9.51,9.6,14.49,13.77,12.68,14.04,10.6,5.43,75,25,182
3056,宮町,"1,284","3,749","1,715",45.75,338,"2,103","1,278","5,812","1,616",586,36,123,"625,177",457,43,107,5.59,7.82,7.69,10.62,12.15,12.42,17.69,15.43,10.57,57.72,38.21,"4,044"
3057,伊勢市,"9,385","3,845","1,746",45.41,351,"2,023","1,415","5,449","1,730",642,37,217,"743,262",708,60,108,5.8,7.15,7.15,9.26,12.61,12.29,16.67,18.02,11.05,63.13,33.18,"3,669"
3058,宇治山田,"8,403","3,593","1,622",45.14,339,"1,983","1,214","5,301","1,651",655,40,146,"754,026",573,53,165,5.91,8.12,7.81,9.42,12.31,12.54,17.46,15.96,10.47,54.11,41.1,"3,561"
3059,伊勢若松,"1,697","2,176","1,080",49.63,335,"1,335",496,"1,076",792,178,22,9,"75,213",57,4,0,10.07,10.85,9.19,13.86,14.41,11.13,14.6,10.25,5.64,44.44,33.33,259
3060,柳,235,524,256,48.85,65,338,121,403,160,18,11,1,"8,167",16,0,0,8.02,9.73,9.73,12.21,14.12,12.79,17.75,10.31,5.34,100,0,214
3061,鈴鹿市,"2,878","3,593","1,783",49.62,511,"2,175",878,"4,441","1,452",421,29,72,"285,410",273,20,740,9.29,9.15,9.91,15.46,13.78,11.42,13.56,11.42,6.01,63.89,26.39,"2,468"
3062,三日市,"1,181","3,791","1,933",50.99,573,"2,639",473,"2,074","1,620",580,36,20,"426,438",116,10,0,10.99,9.23,13.65,18.97,14.82,12.84,11.32,5.37,2.8,40,35,"1,014"
3063,平田町,"4,859","3,778","1,991",52.7,435,"2,476",742,"3,560","1,815",896,49,70,"825,518",282,41,1,7.58,8.79,13.19,16.7,15.19,10.98,13.69,7.8,6.08,68.57,28.57,"2,233"
3064,桑名,"29,920","3,970","1,906",48.01,484,"2,490",934,"6,288","1,695",557,33,137,"1,732,025",493,45,866,8.97,7.54,9.41,16.75,12.78,13.6,12.71,10.99,7.24,49.64,44.53,"4,167"
3065,播磨,531,"2,115","1,110",52.48,219,"1,349",470,"2,653",974,426,44,16,"68,853",87,9,298,7.31,8.53,13.98,15.55,11.53,12.16,15.15,9.86,5.93,31.25,62.5,"1,586"
3066,下深谷,994,"1,702",841,49.41,160,"1,018",520,"1,495",624,122,20,13,"21,263",76,2,445,5.36,8.12,9.59,10.59,11.07,13.77,19.25,13.95,8.3,30.77,61.54,295
3067,下野代,398,529,259,48.96,71,316,142,451,164,21,13,6,"34,006",24,4,65,8.52,10.98,6.82,13.45,12.12,11.55,17.42,14.02,5.11,50,16.67,184
3068,多度,"1,115","1,759",819,46.56,231,"1,002",525,"1,685",568,95,17,31,"269,054",108,4,323,7.79,9.1,9.15,11.82,11.09,11.37,19.27,12.39,8.02,41.94,51.61,617
3069,西桑名,"4,347","3,909","1,848",47.28,440,"2,440",985,"7,132","1,652",527,32,153,"2,017,824",535,50,945,7.97,7.61,9.37,15.58,12.24,14.08,13.64,11.65,7.87,52.29,42.48,"4,943"
3070,馬道,778,"3,774","1,795",47.56,533,"2,251",959,"3,326","1,468",362,25,33,"187,093",149,6,762,8.9,10.37,8.5,13.6,14.19,11.43,14.19,11.51,7.32,51.52,39.39,"1,172"
3071,西別所,279,"1,896",909,47.94,240,"1,127",504,"1,470",735,203,28,21,"200,998",90,3,85,8.01,10.04,9.03,13.46,14.16,11.43,14.37,12.34,7.16,33.33,38.1,666
3072,蓮花寺,635,"1,835",877,47.79,231,"1,116",458,"1,693",684,172,25,17,"141,162",86,7,412,8.37,9.53,10.59,12.75,12.47,12.97,14.97,11.97,6.37,41.18,52.94,630
3073,在良,290,"1,570",786,50.06,233,939,380,"1,312",570,125,22,16,"275,824",62,5,0,9.35,10.25,8.7,14.25,12.7,11.48,16.7,10.57,6,31.25,50,745
3075,七和,585,"1,511",733,48.51,275,933,283,"1,097",542,120,22,6,"37,435",40,2,252,12.08,11.07,10.07,17.79,12.55,10.13,13.76,8.46,4.09,16.67,50,318
3076,穴太,599,"1,065",538,50.52,156,673,234,613,357,67,19,11,"85,267",45,3,0,9.23,9.98,10.64,14.31,14.12,11.11,16.48,10.08,4.05,27.27,54.55,229
3081,楚原,"1,264","1,658",873,52.65,277,"1,108",274,"2,078",637,216,34,20,"143,740",72,3,"1,073",12.54,8.38,13.98,18.69,12.72,10.37,12.18,7.47,3.68,55,35,548
3083,麻生田,284,722,377,52.22,100,447,183,537,237,61,26,5,"30,388",29,3,0,7.27,10.97,10.01,13.44,13.17,12.76,15.23,9.88,7.27,40,40,284
3085,阿下喜,730,"1,159",509,43.92,124,590,443,"1,063",349,73,21,22,"56,789",77,3,0,6.74,7.77,9.24,9.33,10.54,10.79,14.85,12.61,18.13,63.64,31.82,506
3086,近鉄四日市,"40,587","5,147","2,637",51.23,605,"3,641",838,"17,623","2,774","1,506",54,230,"4,270,442","1,380",141,480,8.2,7.46,13.06,17.14,18.04,13.26,11.33,7.65,3.86,73.04,22.61,"15,987"
3087,中川原,"1,412","4,937","2,459",49.81,714,"3,355",832,"3,990","2,260",873,39,39,"438,186",259,26,328,10.16,8.83,12.71,17.69,15,12.06,11.92,7.9,3.73,53.85,41.03,"2,205"
3088,伊勢松本,"2,429","4,161","2,066",49.65,642,"2,729",770,"2,253","1,703",501,29,28,"297,363",113,6,6,10.96,9.13,10.82,17.58,14.24,12.14,11.81,8.93,4.39,39.29,50,874
3089,伊勢川島,"2,016","2,335","1,151",49.29,300,"1,471",546,"1,178",884,208,24,17,"234,328",69,10,0,8.55,9.58,9.8,14.67,11.61,12.82,18.3,9.93,4.75,23.53,47.06,393
3090,高角,"1,065",441,214,48.53,46,283,108,892,159,41,26,11,"153,635",51,2,42,6.65,8.49,13.76,12.16,10.09,15.37,16.97,11.93,4.59,9.09,45.45,693
3091,桜,"3,452","1,762",814,46.2,227,"1,006",524,"1,525",606,108,18,24,"164,045",78,6,22,8.58,8.98,7.96,13.64,11.94,10.92,15.12,11.14,11.71,41.67,45.83,780
3092,菰野,"2,521","1,821",887,48.71,253,"1,130",414,"1,539",662,174,26,47,"356,181",123,8,72,8.68,10.13,11.35,14.52,12.3,12.52,13.63,10.91,5.95,44.68,48.94,802
3093,中菰野,"1,049","3,583","1,759",49.09,668,"2,222",657,"1,976","1,361",343,25,11,"54,077",62,6,311,12.6,10.93,10.88,17.61,13.55,10.06,11.64,8.34,4.4,27.27,54.55,426
3094,大羽根園,797,"2,319","1,122",48.38,316,"1,420",562,963,914,231,25,4,0,30,2,0,9.41,9.02,9.84,14.72,13.68,11.02,15.59,10.98,5.75,25,50,157
3095,湯の山温泉,803,398,183,45.98,37,188,172,398,127,33,26,4,"1,843",23,3,0,5.29,6.3,6.8,8.56,11.84,8.56,18.14,15.62,18.89,75,25,195
3096,近鉄四日市,"40,587","5,147","2,637",51.23,605,"3,641",838,"17,623","2,774","1,506",54,230,"4,270,442","1,380",141,480,8.2,7.46,13.06,17.14,18.04,13.26,11.33,7.65,3.86,73.04,22.61,"15,987"
3097,赤堀,441,"4,367","2,209",50.58,674,"2,844",809,"3,581","1,923",760,40,27,"262,693",206,19,83,11.75,7.51,11.88,18.24,14.8,10.64,11.31,8.81,5.06,55.56,25.93,"1,914"
3098,日永,939,"4,232","2,117",50.02,671,"2,787",744,"2,309","1,833",656,36,20,"262,634",119,5,0,11.87,8.21,11.9,18.82,13.87,11.02,11.75,8.18,4.38,50,35,867
3099,南日永,"1,018","3,695","1,842",49.85,585,"2,573",515,"3,970","1,587",551,35,70,"1,693,378",214,26,608,11.21,10.21,13.31,18.89,14.64,10.89,11.11,6.29,3.46,57.14,31.43,"2,252"
3100,泊,824,"3,133","1,527",48.74,489,"1,902",730,"2,853","1,239",345,28,33,"647,586",135,10,240,9.93,11.02,9.04,14.93,14.26,10.54,13.59,10.89,5.8,42.42,39.39,"1,463"
3101,追分,968,"3,186","1,519",47.68,425,"1,948",776,"2,917","1,366",465,34,35,"356,708",127,8,748,8.95,9.01,10.25,15.23,12.73,11.08,15.26,11.11,6.38,42.86,37.14,989
3102,小古曽,323,"2,422","1,200",49.55,333,"1,513",560,"1,999","1,016",338,33,7,"106,210",89,5,0,9.35,8.19,12.47,15.42,13.47,10.85,14.01,10.97,5.28,57.14,14.29,"1,102"
3103,内部,"1,235","1,958",992,50.66,313,"1,255",385,"1,410",807,263,33,4,"57,313",52,5,0,10.34,9.93,13.88,16.39,14.54,9.32,12.03,9.22,4.35,50,25,767
3104,日永,939,"4,232","2,117",50.02,671,"2,787",744,"2,309","1,833",656,36,20,"262,634",119,5,0,11.87,8.21,11.9,18.82,13.87,11.02,11.75,8.18,4.38,50,35,867
3105,西日野,"1,965","2,803","1,388",49.52,384,"1,796",606,"3,836","1,060",361,34,29,"447,460",109,12,"1,380",9.3,9.26,10.62,16.33,13.89,11.77,13.5,10.41,4.92,48.28,37.93,"1,350"
3106,宇治山田,"8,403","3,593","1,622",45.14,339,"1,983","1,214","5,301","1,651",655,40,146,"754,026",573,53,165,5.91,8.12,7.81,9.42,12.31,12.54,17.46,15.96,10.47,54.11,41.1,"3,561"
3107,五十鈴川,"2,122","1,597",743,46.52,172,954,458,"2,205",674,219,32,50,"972,476",126,15,111,6.76,9.03,10.42,10.36,12.63,13.33,16.23,12.89,8.34,70,24,"1,422"
3108,朝熊,165,730,349,47.81,61,444,224,573,276,57,21,7,"11,757",21,0,0,5.2,6.98,10.4,7.52,12.18,18.74,15.32,15.05,8.62,14.29,85.71,235
3109,池の浦,951,452,215,47.57,53,277,129,674,168,39,23,5,"13,712",21,1,376,7.58,8.44,8.44,8.66,14.29,16.67,14.94,13.85,7.14,20,20,109
3110,鳥羽,"4,064",271,124,45.76,16,152,105,"1,327",140,76,54,55,"207,609",138,27,5,4.78,4.04,11.4,8.82,12.13,12.13,19.49,16.54,10.66,60,36.36,"1,231"
3111,鳥羽,"4,064",271,124,45.76,16,152,105,"1,327",140,76,54,55,"207,609",138,27,5,4.78,4.04,11.4,8.82,12.13,12.13,19.49,16.54,10.66,60,36.36,"1,231"
3112,中之郷,245,811,362,44.64,65,431,314,"1,734",399,177,44,52,"303,738",178,16,172,4.93,6.65,6.77,8.99,10.47,12.68,19.21,17.12,13.18,59.62,28.85,"1,247"
3113,志摩赤崎,485,711,353,49.65,84,460,165,866,305,113,37,19,"173,881",70,8,36,6.89,10.27,10.69,11.39,14.21,14.35,15.75,10.27,6.19,52.63,42.11,584
3114,船津,227,671,292,43.52,85,406,179,446,254,54,21,7,"21,538",28,2,0,6.11,10.88,9.54,10.43,12.37,15.05,15.8,12.67,7.15,57.14,42.86,158
3115,加茂,184,339,137,40.41,31,153,155,564,90,8,9,1,424,12,1,227,5.31,6.49,7.08,5.31,10.32,12.09,13.57,15.34,24.48,0,0,140
3116,松尾,175,415,193,46.51,41,249,126,223,131,16,12,2,0,13,0,0,4.56,11.99,6.47,8.15,12.23,14.39,18.71,9.59,13.91,100,0,37
3117,白木,28,131,69,52.67,16,81,34,53,41,5,12,0,0,2,0,0,6.92,11.54,10,6.92,10.77,17.69,17.69,8.46,10,0,0,7
3118,五知,22,36,18,50,3,15,20,40,15,3,20,1,0,0,0,0,0,11.11,5.56,2.78,5.56,16.67,16.67,19.44,22.22,0,0,0
3119,沓掛,22,174,84,48.28,22,114,40,74,56,11,20,1,0,3,0,0,6.25,15.91,9.09,7.95,14.2,18.18,10.23,9.66,8.52,100,0,5
3120,上之郷,103,442,213,48.19,53,235,154,289,156,24,15,11,"21,320",26,1,0,7.69,8.6,6.33,11.31,11.99,11.54,15.61,17.65,9.28,63.64,18.18,87
3121,志摩磯部,822,707,334,47.24,89,431,186,"1,222",278,80,29,14,"94,038",67,6,212,6.8,9.92,10.62,11.76,12.18,14.16,15.3,11.33,7.93,35.71,57.14,712
3122,穴川,68,204,96,47.06,27,106,67,152,75,17,23,4,"2,834",12,1,0,9.05,9.05,6.53,8.04,14.57,12.06,15.08,15.08,10.55,50,25,80
3123,志摩横山,148,"1,605",736,45.86,176,968,459,"1,388",603,165,27,22,"149,712",86,10,0,6.92,8.92,8.23,11.98,12.79,14.54,14.91,12.79,8.92,59.09,31.82,673
3124,鵜方,"1,930","1,950",907,46.51,247,"1,181",517,"3,218",756,198,26,71,"462,211",291,26,563,7.4,10.74,8.43,11.1,14.08,13.36,14.65,13.05,7.19,50.7,40.85,"1,813"
3125,志摩神明,206,914,447,48.91,143,574,197,468,334,77,23,2,0,27,0,7,11.05,10.07,7.55,14.55,13.02,13.46,14.88,9.52,5.91,50,50,106
3126,賢島,863,93,48,51.61,4,66,24,391,47,24,51,11,"17,277",26,5,0,2.2,8.79,16.48,10.99,7.69,20.88,10.99,9.89,12.09,90.91,9.09,362
3127,近鉄富田,"7,490","3,708","1,798",48.49,523,"2,293",870,"4,084","1,539",472,31,52,"255,566",174,15,"1,449",10.02,8.41,11.05,16.37,14.01,10.18,12.6,11.02,6.35,44.23,46.15,"1,350"
3128,大矢知,616,"2,016",996,49.4,331,"1,285",396,"2,094",746,187,25,19,"207,808",88,5,877,10.72,10.68,11.62,15.64,14.85,10.48,12.31,9.19,4.52,21.05,52.63,520
3129,平津,345,"1,142",578,50.61,112,721,301,"1,618",411,76,18,3,"15,460",25,2,620,5.55,8.55,11.98,11.72,11.98,14.98,17.44,11.81,5.99,66.67,33.33,627
3130,暁学園前,"3,557",572,281,49.13,68,339,164,"2,037",198,40,20,4,"7,496",31,2,"1,500",7.01,10.51,10.68,12.96,11.38,10.68,18.04,12.61,6.13,50,25,340
3131,山城,918,"1,455",808,55.53,195,992,259,893,645,282,44,2,0,36,2,171,8.3,9.97,13.08,18.48,14.33,11.97,11.97,8.17,3.74,50,50,318
3132,保々,"1,136",423,208,49.17,49,270,111,341,137,21,15,10,"119,041",20,0,1,7.23,10.02,10.02,12.82,11.42,14.45,17.02,10.02,6.99,30,20,190
3133,北勢中央公園口,635,"1,194",603,50.5,153,848,193,440,432,94,22,5,"45,682",21,2,0,8.55,10.48,18.11,11.15,12.32,15.59,12.99,7.12,3.69,0,80,87
3134,梅戸井,279,970,483,49.79,114,592,265,550,322,86,27,7,"15,420",28,1,2,6.59,10.92,8.75,11.64,12.67,14.93,14.32,11.12,9.06,14.29,28.57,195
3135,大安,852,567,232,40.92,54,395,117,302,270,147,54,4,"40,181",17,3,0,6.17,11.29,20.99,11.64,11.46,10.93,12.35,7.41,7.76,50,25,137
3136,三里,699,760,390,51.32,118,486,156,747,255,60,24,8,"263,174",44,5,33,9.99,10.12,13.01,13.93,13.01,12.88,11.43,9.86,5.78,37.5,37.5,448
3137,丹生川,253,654,315,48.17,88,386,180,461,212,35,17,4,"12,799",22,0,127,7.63,11.45,7.94,12.06,13.28,13.28,12.06,12.52,9.77,75,25,108
3138,伊勢治田,384,"1,123",554,49.33,149,685,293,756,366,64,17,7,"13,062",50,0,82,7.73,10.39,8.61,12.34,13.32,13.06,15.45,11.55,7.55,57.14,28.57,252
3139,東藤原,129,432,221,51.16,60,273,105,529,160,40,25,2,0,30,1,0,8.43,10.25,10.48,12.98,12.3,12.3,16.86,9.57,6.83,0,50,348
3140,西野尻,79,302,144,47.68,34,175,91,176,108,15,14,1,0,10,0,0,8.72,6.38,8.72,11.07,8.05,16.78,16.78,14.09,9.4,0,0,35
3141,西藤原,152,401,178,44.39,44,246,111,224,146,35,24,2,0,16,2,9,6.75,8.25,12.75,11.25,8,15.5,16.75,10.25,10.5,50,0,76
